InputSize	GroupSize	Distribution	resultSize	PSTime	Variant	Intent	localSize	Aggregate	AggTime
18	0	0	1	1.46125e+06	1	16	10	262144	225792	0
18	0	0	1	1.46125e+06	1	32	1	262144	244838	0
18	0	0	1	1.46125e+06	1	32	2	262144	243917	0
18	0	0	1	1.46125e+06	1	32	3	262144	244429	0
18	0	0	1	1.46125e+06	1	32	4	262144	245043	0
18	0	0	1	1.46125e+06	1	32	5	262144	244019	0
18	0	0	1	1.46125e+06	1	32	6	262144	246579	0
18	0	0	1	1.46125e+06	1	32	7	262144	244634	0
18	0	0	1	1.46125e+06	1	32	8	262144	246784	0
18	0	0	1	1.46125e+06	1	32	9	262144	244429	0
18	0	0	1	1.46125e+06	1	32	10	262144	243712	0
18	0	0	1	1.46125e+06	1	64	1	262144	264704	0
18	0	0	1	1.46125e+06	1	64	2	262144	244019	0
18	0	0	1	1.46125e+06	1	64	3	262144	251597	0
18	0	0	1	1.46125e+06	1	64	4	262144	250368	0
18	0	0	1	1.46125e+06	1	64	5	262144	246170	0
18	0	0	1	1.46125e+06	1	64	6	262144	246374	0
18	0	0	1	1.46125e+06	1	64	7	262144	246579	0
18	0	0	1	1.46125e+06	1	64	8	262144	249754	0
18	0	0	1	1.46125e+06	1	64	9	262144	247091	0
18	0	0	1	1.46125e+06	1	64	10	262144	252211	0
18	0	0	1	1.46125e+06	1	128	1	262144	250982	0
18	0	0	1	1.46125e+06	1	128	2	262144	252211	0
18	0	0	1	1.46125e+06	1	128	3	262144	251802	0
18	0	0	1	1.46125e+06	1	128	4	262144	248218	0
18	0	0	1	1.46125e+06	1	128	5	262144	246989	0
18	0	0	1	1.46125e+06	1	128	6	262144	247501	0
18	0	0	1	1.46125e+06	1	128	7	262144	246374	0
18	0	0	1	1.46125e+06	1	128	8	262144	257331	0
18	0	0	1	1.46125e+06	1	128	9	262144	249344	0
18	0	0	1	1.46125e+06	1	128	10	262144	252314	0
18	0	0	1	1.46125e+06	1	256	1	262144	259789	0
18	0	0	1	1.46125e+06	1	256	2	262144	252826	0
18	0	0	1	1.46125e+06	1	256	3	262144	248320	0
18	0	0	1	1.46125e+06	1	256	4	262144	246579	0
18	0	0	1	1.46125e+06	1	256	5	262144	247603	0
18	0	0	1	1.46125e+06	1	256	6	262144	247091	0
18	0	0	1	1.46125e+06	1	256	7	262144	249242	0
18	0	0	1	1.46125e+06	1	256	8	262144	248218	0
18	0	0	1	1.46125e+06	1	256	9	262144	252826	0
18	0	0	1	1.46125e+06	1	256	10	262144	342733	0
18	0	0	1	1.46125e+06	1	512	1	262144	287744	0
18	0	0	1	1.46125e+06	1	512	2	262144	244531	0
18	0	0	1	1.46125e+06	1	512	3	262144	243098	0
18	0	0	1	1.46125e+06	1	512	4	262144	246784	0
18	0	0	1	1.46125e+06	1	512	5	262144	244019	0
18	0	0	1	1.46125e+06	1	512	6	262144	244531	0
18	0	0	1	1.46125e+06	1	512	7	262144	247808	0
18	0	0	1	1.46125e+06	1	512	8	262144	250573	0
18	0	0	1	1.46125e+06	1	512	9	262144	401203	0
18	0	0	1	1.46125e+06	2	2	1	262144	330035	0
18	0	0	1	1.46125e+06	2	2	2	262144	169779	0
18	0	0	1	1.46125e+06	2	2	3	262144	114483	0
18	0	0	1	1.46125e+06	2	2	4	262144	110694	0
18	0	0	1	1.46125e+06	2	2	5	262144	109568	0
18	0	0	1	1.46125e+06	2	2	6	262144	109773	0
