InputSize,GroupSize,Distribution,resultSize,PSTime,Variant,Intent,localSize,Aggregate,AggTime
18,18,0,1,1460000,1,16,9,262135,53565.4
18,18,0,1,1460000,1,16,10,0,0
18,18,0,1,1460000,1,32,1,262144,74547.2
18,18,0,1,1460000,1,32,2,262144,55971.8
18,18,0,1,1460000,1,32,3,262144,50954.2
18,18,0,1,1460000,1,32,4,262144,53636.8
18,18,0,1,1460000,1,32,5,262144,52654.1
18,18,0,1,1460000,1,32,6,262144,52592.3
18,18,0,1,1460000,1,32,7,262641,52828.8
18,18,0,1,1460000,1,32,8,262144,56104.6
18,18,0,1,1460000,1,32,9,0,0
18,18,0,1,1460000,1,32,10,0,0
18,18,0,1,1460000,1,64,1,262144,73984
18,18,0,1,1460000,1,64,2,262144,55726.1
18,18,0,1,1460000,1,64,3,262144,50616.3
18,18,0,1,1460000,1,64,4,262144,46643.5
18,18,0,1,1460000,1,64,5,262144,45598.7
18,18,0,1,1460000,1,64,6,262144,48158.7
18,18,0,1,1460000,1,64,7,262144,47533.8
18,18,0,1,1460000,1,64,8,0,0
18,18,0,1,1460000,1,64,9,0,0
18,18,0,1,1460000,1,64,10,0,0
18,18,0,1,1460000,1,128,1,262144,72683.5
18,18,0,1,1460000,1,128,2,262144,54620.2
18,18,0,1,1460000,1,128,3,262144,49664
18,18,0,1,1460000,1,128,4,262144,48384
18,18,0,1,1460000,1,128,5,262144,54548.5
18,18,0,1,1460000,1,128,6,262144,55593
18,18,0,1,1460000,1,128,7,0,0
18,18,0,1,1460000,1,128,8,0,0
18,18,0,1,1460000,1,128,9,0,0
18,18,0,1,1460000,1,128,10,0,0
18,18,0,1,1460000,1,256,1,262144,73144.3
18,18,0,1,1460000,1,256,2,262144,59473.9
18,18,0,1,1460000,1,256,3,262144,50257.9
18,18,0,1,1460000,1,256,4,262144,60098.6
18,18,0,1,1460000,1,256,5,262144,76134.4
18,18,0,1,1460000,1,256,6,0,0
18,18,0,1,1460000,1,256,7,0,0
18,18,0,1,1460000,1,256,8,0,0
18,18,0,1,1460000,1,256,9,0,0
18,18,0,1,1460000,1,256,10,0,0
18,18,0,1,1460000,1,512,1,262144,77281.3
18,18,0,1,1460000,1,512,2,262144,70205.4
18,18,0,1,1460000,1,512,3,262144,76759
18,18,0,1,1460000,1,512,4,262144,89641
18,18,0,1,1460000,1,512,5,0,0
18,18,0,1,1460000,1,512,6,0,0
18,18,0,1,1460000,1,512,7,0,0
18,18,0,1,1460000,1,512,8,0,0
18,18,0,1,1460000,1,512,9,0,0
18,18,0,1,1460000,2,2,1,262144,461414
18,18,0,1,1460000,2,2,2,262144,229601
18,18,0,1,1460000,2,2,3,262144,116716
18,18,0,1,1460000,2,2,4,262144,58091.5
18,18,0,1,1460000,2,2,5,262144,41144.3
18,18,0,1,1460000,2,2,6,262233,28774.4
18,18,0,1,1460000,2,2,7,262134,29562.9
18,18,0,1,1460000,2,2,8,262138,29481
18,18,0,1,1460000,2,2,9,262140,31447
18,18,0,1,1460000,2,2,10,262143,34662.7
