InputSize	GroupSize	Distribution	resultSize	PSTime	Variant	Intent	localSize	Aggregate	AggTime
17	17	0	1	3.18333e+06	1	128	7	131072	1.49849e+06
17	17	0	1	3.18333e+06	1	128	8	131072	1.49799e+06
17	17	0	1	3.18333e+06	1	128	9	131072	1.49837e+06
17	17	0	1	3.18333e+06	1	128	10	131072	1.52866e+06
17	17	0	1	3.18333e+06	1	256	1	131072	1.50016e+06
17	17	0	1	3.18333e+06	1	256	2	131072	1.50463e+06
17	17	0	1	3.18333e+06	1	256	3	131072	1.51486e+06
17	17	0	1	3.18333e+06	1	256	4	131072	1.51307e+06
17	17	0	1	3.18333e+06	1	256	5	131072	1.49762e+06
17	17	0	1	3.18333e+06	1	256	6	131072	1.50285e+06
17	17	0	1	3.18333e+06	1	256	7	131072	1.50221e+06
17	17	0	1	3.18333e+06	1	256	8	131072	1.50189e+06
17	17	0	1	3.18333e+06	1	256	9	131072	1.53129e+06
17	17	0	1	3.18333e+06	1	512	1	131072	1.50608e+06
17	17	0	1	3.18333e+06	1	512	2	131072	1.51199e+06
17	17	0	1	3.18333e+06	1	512	3	131072	1.5353e+06
17	17	0	1	3.18333e+06	1	512	4	131072	1.49271e+06
17	17	0	1	3.18333e+06	1	512	5	131072	1.51371e+06
17	17	0	1	3.18333e+06	1	512	6	131072	1.51259e+06
17	17	0	1	3.18333e+06	1	512	7	131072	1.5199e+06
17	17	0	1	3.18333e+06	1	512	8	131072	1.66461e+06
17	17	0	1	3.18333e+06	2	2	1	131072	1.72538e+06
17	17	0	1	3.18333e+06	2	2	2	131072	1.01021e+06
17	17	0	1	3.18333e+06	2	2	3	131072	750018
17	17	0	1	3.18333e+06	2	2	4	131072	750083
17	17	0	1	3.18333e+06	2	2	5	131072	750019
17	17	0	1	3.18333e+06	2	2	6	131072	763727
17	17	0	1	3.18333e+06	2	2	7	131072	750543
17	17	0	1	3.18333e+06	2	2	8	131072	752413
17	17	0	1	3.18333e+06	2	2	9	131072	750786
