ColumnName	GroupSize	PSTime	Variant	TotalSize	Intent	GlobalSize	localSize	Aggregate	AggTime
p_partkey	16384	271360	5	16384	2	8192	4	1	23961.6
p_partkey	16384	271360	5	16384	2	8192	8	1	15360
p_partkey	16384	271360	5	16384	2	8192	16	1	11161.6
p_partkey	16384	271360	5	16384	2	8192	32	1	8704
p_partkey	16384	271360	5	16384	2	8192	64	1	7168
p_partkey	16384	271360	5	16384	2	8192	128	1	7065.6
p_partkey	16384	271360	5	16384	2	8192	256	1	7270.4
p_partkey	16384	271360	5	16384	2	8192	512	1	7475.2
p_partkey	16384	271360	5	16384	2	8192	1024	1	7680
p_partkey	16384	271360	5	16384	4	4096	2	1	23244.8
p_partkey	16384	271360	5	16384	4	4096	4	1	16076.8
p_partkey	16384	271360	5	16384	4	4096	8	1	11366.4
p_partkey	16384	271360	5	16384	4	4096	16	1	9216
p_partkey	16384	271360	5	16384	4	4096	32	1	7782.4
p_partkey	16384	271360	5	16384	4	4096	64	1	7680
p_partkey	16384	271360	5	16384	4	4096	128	1	7577.6
p_partkey	16384	271360	5	16384	4	4096	256	1	7372.8
p_partkey	16384	271360	5	16384	4	4096	512	1	7782.4
p_partkey	16384	271360	5	16384	4	4096	1024	1	9011.2
p_partkey	16384	271360	5	16384	8	2048	2	1	17305.6
p_partkey	16384	271360	5	16384	8	2048	4	1	12595.2
p_partkey	16384	271360	5	16384	8	2048	8	1	10649.6
p_partkey	16384	271360	5	16384	8	2048	16	1	8905.6
p_partkey	16384	271360	5	16384	8	2048	32	1	9523.2
p_partkey	16384	271360	5	16384	8	2048	64	1	8396.8
p_partkey	16384	271360	5	16384	8	2048	128	1	8294.4
p_partkey	16384	271360	5	16384	8	2048	256	1	8704
p_partkey	16384	271360	5	16384	8	2048	512	1	11161.6
p_partkey	16384	271360	5	16384	8	2048	1024	1	11571.2
p_partkey	16384	271360	5	16384	16	1024	2	1	14233.6
p_partkey	16384	271360	5	16384	16	1024	4	1	11264
p_partkey	16384	271360	5	16384	16	1024	8	1	9625.6
p_partkey	16384	271360	5	16384	16	1024	16	1	9523.2
p_partkey	16384	271360	5	16384	16	1024	32	1	9932.8
p_partkey	16384	271360	5	16384	16	1024	64	1	10035.2
p_partkey	16384	271360	5	16384	16	1024	128	1	9932.8
p_partkey	16384	271360	5	16384	16	1024	256	1	9625.6
p_partkey	16384	271360	5	16384	16	1024	512	1	13107.2
p_partkey	16384	271360	5	16384	16	1024	1024	0	0
p_partkey	16384	271360	5	16384	32	512	2	1	14438.4
p_partkey	16384	271360	5	16384	32	512	4	1	11980.8
p_partkey	16384	271360	5	16384	32	512	8	1	11366.4
p_partkey	16384	271360	5	16384	32	512	16	1	11673.6
p_partkey	16384	271360	5	16384	32	512	32	1	11673.6
p_partkey	16384	271360	5	16384	32	512	64	1	11366.4
p_partkey	16384	271360	5	16384	32	512	128	1	11776
p_partkey	16384	271360	5	16384	32	512	256	1	14745.6
p_partkey	16384	271360	5	16384	32	512	512	0	0
p_partkey	16384	271360	5	16384	64	256	2	1	14028.8
p_partkey	16384	271360	5	16384	64	256	4	1	12902.4
p_partkey	16384	271360	5	16384	64	256	8	1	13209.6
p_partkey	16384	271360	5	16384	64	256	16	1	13824
p_partkey	16384	271360	5	16384	64	256	32	1	16691.2
p_partkey	16384	271360	5	16384	64	256	64	1	16076.8
p_partkey	16384	271360	5	16384	64	256	128	1	16384
p_partkey	16384	271360	5	16384	64	256	256	0	0
p_partkey	16384	271360	5	16384	128	128	2	1	19660.8
p_partkey	16384	271360	5	16384	128	128	4	1	17510.4
p_partkey	16384	271360	5	16384	128	128	8	1	17408
p_partkey	16384	271360	5	16384	128	128	16	1	19865.6
p_partkey	16384	271360	5	16384	128	128	32	1	21913.6
p_partkey	16384	271360	5	16384	128	128	64	1	26009.6
p_partkey	16384	271360	5	16384	128	128	128	0	0
p_partkey	16384	271360	5	16384	256	64	2	1	25190.4
p_partkey	16384	271360	5	16384	256	64	4	1	24883.2
p_partkey	16384	271360	5	16384	256	64	8	1	29696
p_partkey	16384	271360	5	16384	256	64	16	1	28569.6
p_partkey	16384	271360	5	16384	256	64	32	1	36659.2
p_partkey	16384	271360	5	16384	256	64	64	0	0
p_partkey	16384	271360	5	16384	512	32	2	1	43417.6
p_partkey	16384	271360	5	16384	512	32	4	1	44748.8
p_partkey	16384	271360	5	16384	512	32	8	1	44646.4
p_partkey	16384	271360	5	16384	512	32	16	1	51609.6
p_partkey	16384	271360	5	16384	512	32	32	0	0
p_partkey	16384	271360	6	16384	2	8192	2	1	44544
p_partkey	16384	271360	6	16384	2	8192	4	1	25395.2
p_partkey	16384	271360	6	16384	2	8192	8	1	16179.2
p_partkey	16384	271360	6	16384	2	8192	16	1	11161.6
p_partkey	16384	271360	6	16384	2	8192	32	1	9011.2
p_partkey	16384	271360	6	16384	2	8192	64	1	7372.8
p_partkey	16384	271360	6	16384	2	8192	128	1	7782.4
p_partkey	16384	271360	6	16384	2	8192	256	1	7475.2
p_partkey	16384	271360	6	16384	2	8192	512	1	9728
p_partkey	16384	271360	6	16384	2	8192	1024	1	7884.8
p_partkey	16384	271360	6	16384	4	4096	2	1	31027.2
p_partkey	16384	271360	6	16384	4	4096	4	1	19148.8
p_partkey	16384	271360	6	16384	4	4096	8	1	12800
p_partkey	16384	271360	6	16384	4	4096	16	1	10649.6
p_partkey	16384	271360	6	16384	4	4096	32	1	8192
p_partkey	16384	271360	6	16384	4	4096	64	1	9113.6
p_partkey	16384	271360	6	16384	4	4096	128	1	7782.4
p_partkey	16384	271360	6	16384	4	4096	256	1	8089.6
p_partkey	16384	271360	6	16384	4	4096	512	1	8601.6
p_partkey	16384	271360	6	16384	4	4096	1024	1	8499.2
p_partkey	16384	271360	6	16384	8	2048	2	1	26009.6
p_partkey	16384	271360	6	16384	8	2048	4	1	16179.2
p_partkey	16384	271360	6	16384	8	2048	8	1	13516.8
p_partkey	16384	271360	6	16384	8	2048	16	1	9830.4
p_partkey	16384	271360	6	16384	8	2048	32	1	9420.8
p_partkey	16384	271360	6	16384	8	2048	64	1	9523.2
p_partkey	16384	271360	6	16384	8	2048	128	1	9830.4
p_partkey	16384	271360	6	16384	8	2048	256	1	10240
p_partkey	16384	271360	6	16384	8	2048	512	1	10547.2
p_partkey	16384	271360	6	16384	8	2048	1024	1	13721.6
p_partkey	16384	271360	6	16384	16	1024	2	1	23654.4
p_partkey	16384	271360	6	16384	16	1024	4	1	17510.4
p_partkey	16384	271360	6	16384	16	1024	8	1	11776
p_partkey	16384	271360	6	16384	16	1024	16	1	11571.2
p_partkey	16384	271360	6	16384	16	1024	32	1	11878.4
p_partkey	16384	271360	6	16384	16	1024	64	1	11980.8
p_partkey	16384	271360	6	16384	16	1024	128	1	11776
p_partkey	16384	271360	6	16384	16	1024	256	1	11980.8
p_partkey	16384	271360	6	16384	16	1024	512	1	14950.4
p_partkey	16384	271360	6	16384	16	1024	1024	0	0
p_partkey	16384	271360	6	16384	32	512	2	1	29593.6
p_partkey	16384	271360	6	16384	32	512	4	1	18124.8
p_partkey	16384	271360	6	16384	32	512	8	1	17612.8
p_partkey	16384	271360	6	16384	32	512	16	1	18022.4
p_partkey	16384	271360	6	16384	32	512	32	1	19558.4
p_partkey	16384	271360	6	16384	32	512	64	1	19456
p_partkey	16384	271360	6	16384	32	512	128	1	19353.6
p_partkey	16384	271360	6	16384	32	512	256	1	20377.6
p_partkey	16384	271360	6	16384	32	512	512	0	0
p_partkey	16384	271360	6	16384	64	256	2	1	26931.2
p_partkey	16384	271360	6	16384	64	256	4	1	25804.8
p_partkey	16384	271360	6	16384	64	256	8	1	25292.8
p_partkey	16384	271360	6	16384	64	256	16	1	27136
p_partkey	16384	271360	6	16384	64	256	32	1	31232
p_partkey	16384	271360	6	16384	64	256	64	1	29798.4
